inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost
openai/gpt-3.5-turbo,0.2727272727272727,0.0787295821622217,170540,170379,161,benchmarks/lab_bench,33,33,kMCBUHnAofKnpy8w3sFwRP,2024-09-20T12:28:03-04:00,2024-09-20T12:28:03-04:00,2024-09-20T12:28:05-04:00,2024-09-20T12-28-03-04-00_benchmarks-lab-bench_J3JJBHUhXWWY9djB8NpHmX.json,0.09
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.5151515151515151,0.08834775598250455,200183,197704,2479,benchmarks/lab_bench,33,33,jhF2BY7YnjG6sSTGkJmbFi,2024-10-07T13:46:20-04:00,2024-10-07T13:46:20-04:00,2024-10-07T13:46:54-04:00,2024-10-07T13-46-20-04-00_benchmarks-lab-bench_6rGGnZqez8b8ZwG75aZBgm.json,1.0
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,0.15151515151515152,0.06338333534349057,80484,80324,160,benchmarks/lab_bench,33,33,92asLcsX3cyuRoBAsUfVkx,2024-09-20T12:33:51-04:00,2024-09-20T12:33:51-04:00,2024-09-20T12:33:55-04:00,2024-09-20T12-33-51-04-00_benchmarks-lab-bench_fv2HcyERNkmngXcAbVR8pH.json,0.07
together/meta-llama/Llama-2-13b-chat-hf,0.0,0.0,13553,10583,2970,benchmarks/lab_bench,33,33,K8ZMVdhvw3UTk8acuLMrvE,2024-09-20T12:33:56-04:00,2024-09-20T12:33:56-04:00,2024-09-20T12:34:11-04:00,2024-09-20T12-33-56-04-00_benchmarks-lab-bench_8oR6SvBG86y53EYr2WVPTW.json,0.0
anthropic/claude-2.0,0.3939393939393939,0.0863769261438741,164275,162038,2237,benchmarks/lab_bench,33,33,bmbo8dMPRbLBnJjWmtpv3F,2024-09-20T12:29:35-04:00,2024-09-20T12:29:35-04:00,2024-09-20T12:31:08-04:00,2024-09-20T12-29-35-04-00_benchmarks-lab-bench_PatW2w3d9YCZXEh6qpsmvS.json,1.35
openai/gpt-4,0.2727272727272727,0.0787295821622217,135727,135524,203,benchmarks/lab_bench,33,33,RmoeSSRLBMmm9UKMdaiJwz,2024-09-20T12:26:06-04:00,2024-09-20T12:26:06-04:00,2024-09-20T12:27:48-04:00,2024-09-20T12-26-06-04-00_benchmarks-lab-bench_9JP5tryPTicS4T4Y5CSsB9.json,4.08
openai/gpt-4o,0.3333333333333333,0.08333333333333333,197551,197452,99,benchmarks/lab_bench,33,33,RtYfoXfqswj832hR4cQw8K,2024-09-20T12:27:58-04:00,2024-09-20T12:27:58-04:00,2024-09-20T12:28:02-04:00,2024-09-20T12-27-58-04-00_benchmarks-lab-bench_oPgJsYsmxUtUSc4PUAA69C.json,0.99
anthropic/claude-3-5-sonnet-20240620,0.36363636363636365,0.08503766788122595,215278,215079,199,benchmarks/lab_bench,33,33,KQnmCXFpfRA9u7bmCXpypy,2024-09-20T12:28:06-04:00,2024-09-20T12:28:06-04:00,2024-09-20T12:28:37-04:00,2024-09-20T12-28-06-04-00_benchmarks-lab-bench_VmjwgZ77dHiKcrDXS9qWTK.json,0.65
google/gemini-1.0-pro,0.24242424242424243,0.07575757575757575,161391,161264,127,benchmarks/lab_bench,33,33,5SyaUYuRYZWiR4qZfYo7mi,2024-09-20T12:24:37-04:00,2024-09-20T12:24:37-04:00,2024-09-20T12:26:05-04:00,2024-09-20T12-24-37-04-00_benchmarks-lab-bench_K8u5pzDoMJ6iZNTgyYyeDb.json,0.08
openai/gpt-4-turbo,0.3333333333333333,0.08333333333333333,196891,196759,132,benchmarks/lab_bench,33,33,UgzHSYPn9mj6CDLPhrcW8i,2024-09-20T12:27:49-04:00,2024-09-20T12:27:49-04:00,2024-09-20T12:27:57-04:00,2024-09-20T12-27-49-04-00_benchmarks-lab-bench_2h7N4P8im2UUC9cPbdPLnC.json,1.97
mistral/mistral-large-2407,0.30303030303030304,0.08124094920275461,209625,209217,408,benchmarks/lab_bench,33,33,MHgUJB6ERU5VMn3xk4vufx,2024-09-20T12:31:09-04:00,2024-09-20T12:31:09-04:00,2024-09-20T12:31:20-04:00,2024-09-20T12-31-09-04-00_benchmarks-lab-bench_FXFp93mC5GzZVi94YYLras.json,0.63
google/gemini-1.5-pro,0.5151515151515151,0.08834775598250455,161363,161264,99,benchmarks/lab_bench,33,33,5KWW5fSKoyB9rGhBhUMvbp,2024-09-20T12:24:31-04:00,2024-09-20T12:24:31-04:00,2024-09-20T12:24:36-04:00,2024-09-20T12-24-31-04-00_benchmarks-lab-bench_RYeJjwNXaAtKNQnmXaJSh9.json,0.57
anthropic/claude-3-opus-20240229,0.2727272727272727,0.0787295821622217,215279,215079,200,benchmarks/lab_bench,33,33,C5W7GZuL4iVR4kWS6QkKDD,2024-09-20T12:28:38-04:00,2024-09-20T12:28:38-04:00,2024-09-20T12:29:34-04:00,2024-09-20T12-28-38-04-00_benchmarks-lab-bench_3PtgwsVyWo4VkW86c2FnQc.json,3.24
