inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.3768844221105528,0.03435277774940825,110403,24329,86074,WFxsYdDHkjjZxssrq9uUPq,2024-11-07T13:36:19-05:00,2024-11-07T13:36:19-05:00,2025-01-28T12:15:47,2024-11-07T13-33-33-05-00_lab-bench_4CQfvmYFXhn6ZF6k3HgUEz.json,True
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.4120603015075377,0.03489154837327655,110519,24333,86186,jqoRubZ4sKZrWMwEaTrCsk,2024-11-07T13:27:39-05:00,2024-11-07T13:27:39-05:00,2025-01-28T12:15:47,2024-11-07T13-24-47-05-00_lab-bench_mspNEhpbA4iMoD6a6Qxj4z.json,True
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.4271356783919598,0.035065680700622236,112877,24331,88546,HfYGmTApeMibe5g4DFi3YH,2024-11-07T13:38:56-05:00,2024-11-07T13:38:56-05:00,2025-01-28T12:15:47,2024-11-07T13-36-20-05-00_lab-bench_6ZVFaG6FjSjqiyL4TwmrHQ.json,True
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.4221105527638191,0.035011357382642085,112152,24332,87820,VPjgaeYnqLCvzsTsZa4BG3,2024-11-07T13:21:51-05:00,2024-11-07T13:21:51-05:00,2025-01-28T12:15:47,2024-11-07T13-18-57-05-00_lab-bench_kvmJEJvdbFFaHZbCefE7WX.json,True
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.3969849246231156,0.034683630756275535,110352,24329,86023,RYfte6YpPVMfepxLmLtDDe,2024-11-07T13:24:46-05:00,2024-11-07T13:24:46-05:00,2025-01-28T12:15:47,2024-11-07T13-21-52-05-00_lab-bench_h3cJgqpXueSmBRq7x9wKyM.json,True
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.44221105527638194,0.03520652905041252,111465,24331,87134,QNakjAVPGauA4fTsMNMC2a,2024-11-07T13:33:33-05:00,2024-11-07T13:33:33-05:00,2025-01-28T12:15:47,2024-11-07T13-30-40-05-00_lab-bench_ZSvmAntpQFXCiYHT6JMPme.json,True
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.4371859296482412,0.03516325118641929,111665,24330,87335,m2iHcWKs3UQZFxChxxprH6,2024-11-07T13:41:30-05:00,2024-11-07T13:41:30-05:00,2025-01-28T12:15:47,2024-11-07T13-38-57-05-00_lab-bench_NLKYn9UY9XpiTLnwRsS5AH.json,True
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.3869346733668342,0.034525952070850574,110361,24329,86032,HjV8naJben6YAuQBNUyzqV,2024-11-07T13:30:39-05:00,2024-11-07T13:30:39-05:00,2025-01-28T12:15:47,2024-11-07T13-27-40-05-00_lab-bench_PdGqWnumyP6aojVSg4eKhJ.json,True
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.4371859296482412,0.03516325118641929,110707,24330,86377,2BGYhkSfSSLRRz5pQ8d9zn,2024-11-07T13:44:11-05:00,2024-11-07T13:44:11-05:00,2025-01-28T12:15:47,2024-11-07T13-41-31-05-00_lab-bench_X9q4rbFD3h3ESxaE7STvi6.json,True
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.44221105527638194,0.03520652905041252,111188,24332,86856,TteNYMRnsYnqPqLNxTosuQ,2024-11-07T13:18:56-05:00,2024-11-07T13:18:56-05:00,2025-01-28T12:15:47,2024-11-07T13-16-09-05-00_lab-bench_ZDzrwU7wQyiK32gDuGUzJz.json,True
