inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Llama-2-13b-chat-hf,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.32160804020100503,0.03319488739074453,28013,26275,1738,HKnPfddXkZT4YZqxDLgDUz,2024-11-07T22:07:46-05:00,2024-11-07T22:07:46-05:00,2025-01-28T12:06:49,2024-11-07T22-07-34-05-00_lab-bench_4hDPaNztfr6xDCi2p9GFyr.json,False
together/meta-llama/Llama-2-13b-chat-hf,benchmarks/run,"{'cls': 'LABBenchBenchmark', 'subset': 'LitQA2'}",zero_shot,199,0.3165829145728643,0.033056286002970385,28209,26474,1735,MHDtDG2gfMUEjVT39c97nA,2024-09-16T14:47:33-04:00,2024-09-16T14:47:33-04:00,2025-01-28T12:06:49,2024-09-16T14-47-10-04-00_benchmarks-run_9EjEsxdecMKEnHvnMzoXqu.json,False
together/meta-llama/Llama-2-13b-chat-hf,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3065326633165829,0.0327656500995723,28007,26275,1732,5D6vdH6i7eA7EEFD97gAmX,2024-11-07T22:07:06-05:00,2024-11-07T22:07:06-05:00,2025-01-28T12:06:49,2024-11-07T22-06-54-05-00_lab-bench_JGFDVxLWKmWEW3VVioVhnD.json,False
together/meta-llama/Llama-2-13b-chat-hf,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.2964824120603015,0.032456699313069805,27955,26275,1680,hA6iENeEn2zaQtfkNg9WbT,2024-11-07T22:07:33-05:00,2024-11-07T22:07:33-05:00,2025-01-28T12:06:49,2024-11-07T22-07-21-05-00_lab-bench_G9xx3EdQYjXgtTCcnNogwT.json,False
together/meta-llama/Llama-2-13b-chat-hf,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.2814070351758794,0.031957762191522465,27983,26275,1708,kFUMQDmv8DyoGo429XciJz,2024-11-07T22:08:52-05:00,2024-11-07T22:08:52-05:00,2025-01-28T12:06:49,2024-11-07T22-08-39-05-00_lab-bench_4o5WBa9byP2uRwqUbzxKQ8.json,False
together/meta-llama/Llama-2-13b-chat-hf,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.2864321608040201,0.03212890530137067,27998,26275,1723,m7UfrsdNwSfpgusRbGL4pf,2024-11-07T22:07:20-05:00,2024-11-07T22:07:20-05:00,2025-01-28T12:06:49,2024-11-07T22-07-07-05-00_lab-bench_XFQzNo3aNDbxiSb9wRJKFY.json,False
together/meta-llama/Llama-2-13b-chat-hf,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3065326633165829,0.0327656500995723,27919,26275,1644,JgWKBmgdXiRVivPRr9Kxsj,2024-11-07T22:08:26-05:00,2024-11-07T22:08:26-05:00,2025-01-28T12:06:49,2024-11-07T22-08-14-05-00_lab-bench_fpjAa9VRN4vA7AqnPvhTLw.json,False
together/meta-llama/Llama-2-13b-chat-hf,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.2864321608040201,0.03212890530137068,28045,26275,1770,7EoEnqtU5oAXYeGjL5g6zo,2024-11-07T22:08:13-05:00,2024-11-07T22:08:13-05:00,2025-01-28T12:06:49,2024-11-07T22-08-01-05-00_lab-bench_TMM8CjjjnjPsfmzvrGoLYQ.json,False
together/meta-llama/Llama-2-13b-chat-hf,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.27638190954773867,0.031781685026817885,27973,26275,1698,3c3ZtEgcHuo5JjQxJFBcHA,2024-11-07T22:08:00-05:00,2024-11-07T22:08:00-05:00,2025-01-28T12:06:49,2024-11-07T22-07-47-05-00_lab-bench_GH56SGr2KEMAe6r4vjqh5d.json,False
together/meta-llama/Llama-2-13b-chat-hf,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.32160804020100503,0.03319488739074453,28027,26275,1752,SxLiNyfAmAakA7k2Ex5Jdq,2024-11-07T22:08:38-05:00,2024-11-07T22:08:38-05:00,2025-01-28T12:06:49,2024-11-07T22-08-27-05-00_lab-bench_TQr7xvX4fh62e5gn2h9Axi.json,False
