inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/open-mixtral-8x7b,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.628,0.021637197985722334,274963,225462,49501,Sp4ESuHx5WysEty5evof9c,2025-01-24T15:16:46-05:00,2025-01-24T15:16:46-05:00,2025-01-28T12:07:25,2025-01-24T15-07-43-05-00_pubmedqa_8bvKtBL6zUPUXJqMNzy7P4.json,False
mistral/open-mixtral-8x7b,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.636,0.021539170637317653,274876,225462,49414,jKX79xbppzLT9Bxrc2YZNx,2025-01-24T15:45:17-05:00,2025-01-24T15:45:17-05:00,2025-01-28T12:07:25,2025-01-24T15-37-08-05-00_pubmedqa_Aj65HmDj8BVJkAzotu5YEs.json,False
mistral/open-mixtral-8x7b,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.636,0.021539170637317653,275346,225462,49884,JvryuvZCkCwFpxYARK9LLK,2025-01-24T15:26:51-05:00,2025-01-24T15:26:51-05:00,2025-01-28T12:07:25,2025-01-24T15-16-47-05-00_pubmedqa_9QYYL88veU6Q2JgaUxfSri.json,False
mistral/open-mixtral-8x7b,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.63,0.021613289165165816,276153,225462,50691,KgugJ6mdhS4uQGuHUUCp8f,2025-01-24T15:37:06-05:00,2025-01-24T15:37:06-05:00,2025-01-28T12:07:25,2025-01-24T15-26-53-05-00_pubmedqa_F3oL8txc3oyBRcy2cnA9hA.json,False
mistral/open-mixtral-8x7b,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.634,0.021564276850201684,276471,225462,51009,UWKMbiWodFMS8BKJctNtSG,2025-01-24T15:56:17-05:00,2025-01-24T15:56:17-05:00,2025-01-28T12:07:25,2025-01-24T15-45-19-05-00_pubmedqa_5Homz4Jb5ENH2HNFjfQTUu.json,False
mistral/open-mixtral-8x7b,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.638,0.02151366252758236,275547,225462,50085,Q8AGQR6pp7BkB7NtWk5KnL,2025-01-24T14:37:29-05:00,2025-01-24T14:37:29-05:00,2025-01-28T12:07:25,2025-01-24T14-28-12-05-00_pubmedqa_FmucyhGqfehFm82LisrvAb.json,False
mistral/open-mixtral-8x7b,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.632,0.021588982568353544,274885,225462,49423,PU4mXwo4Q8wmhELa3r3pNu,2025-01-24T15:07:41-05:00,2025-01-24T15:07:41-05:00,2025-01-28T12:07:25,2025-01-24T14-56-31-05-00_pubmedqa_fbTymxWNCodZfutpSLetLj.json,False
mistral/open-mixtral-8x7b,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.632,0.021588982568353544,275192,225462,49730,V9vhvczS3cvhnWQ7PcskBj,2025-01-24T14:47:06-05:00,2025-01-24T14:47:06-05:00,2025-01-28T12:07:25,2025-01-24T14-37-30-05-00_pubmedqa_aK6vbmi2TcUEEeXeLG2LHz.json,False
mistral/open-mixtral-8x7b,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.642,0.021461434862859133,274516,225462,49054,DqW2eJmGzEmQcrRKLGBVFg,2024-09-19T20:24:04-04:00,2024-09-19T20:24:04-04:00,2025-01-28T12:07:25,2024-09-19T20-14-55-04-00_benchmarks-pubmedqa_mnfowKix7ohet8RvAACYMK.json,False
mistral/open-mixtral-8x7b,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.63,0.021613289165165816,275727,225462,50265,bmWip5ao7tRvCF8FqU3r6U,2025-01-24T14:56:30-05:00,2025-01-24T14:56:30-05:00,2025-01-28T12:07:25,2025-01-24T14-47-08-05-00_pubmedqa_YahE3ub2dtgk7Pp9PQP2ZE.json,False
