inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/deepseek-ai/DeepSeek-V3,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3333333333333333,0.08333333333333333,178020,177254,766,dRZhBrHerWefEQbru5CE6D,2025-02-01T16:05:43-05:00,2025-02-01T16:05:43-05:00,2025-02-09T16:07:56,2025-02-01T16-05-23-05-00_lab-bench_AkRjHy5dnE6EdV6d8aykGk.json,False
together/deepseek-ai/DeepSeek-V3,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3939393939393939,0.08637692614387409,182136,177254,4882,URAUTomUJ3A7t8mLQ7Uazk,2025-02-01T15:53:32-05:00,2025-02-01T15:53:32-05:00,2025-02-09T16:07:56,2025-02-01T15-51-38-05-00_lab-bench_2kjFHoa3pL9ZE47zVZtJVY.json,False
together/deepseek-ai/DeepSeek-V3,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3939393939393939,0.08637692614387409,178835,177255,1580,7eENgKvmAWmGobFeEoZiKy,2025-02-01T15:54:40-05:00,2025-02-01T15:54:40-05:00,2025-02-09T16:07:56,2025-02-01T15-53-32-05-00_lab-bench_VnVr8Euq85ixy5f66FDQkG.json,False
together/deepseek-ai/DeepSeek-V3,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3939393939393939,0.08637692614387409,180577,177255,3322,5gdm4zhKzvvnqjfqg43t87,2025-02-01T15:58:08-05:00,2025-02-01T15:58:08-05:00,2025-02-09T16:07:56,2025-02-01T15-56-29-05-00_lab-bench_WgoQuZWT3CzsxT68vfMboN.json,False
together/deepseek-ai/DeepSeek-V3,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.42424242424242425,0.08736789844447572,179635,177255,2380,ifzyxpCZyd3VCvP5UKBQTW,2025-02-01T16:02:38-05:00,2025-02-01T16:02:38-05:00,2025-02-09T16:07:56,2025-02-01T16-02-05-05-00_lab-bench_3Ljk8f4X3EMQFM4wzSLQ35.json,False
together/deepseek-ai/DeepSeek-V3,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.42424242424242425,0.08736789844447572,179981,177256,2725,8tVXsdpCJYQhjh6z9a5smS,2025-02-01T15:59:53-05:00,2025-02-01T15:59:53-05:00,2025-02-09T16:07:56,2025-02-01T15-58-15-05-00_lab-bench_Ddn8k9HHP6Npv9yymTruTi.json,False
together/deepseek-ai/DeepSeek-V3,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3333333333333333,0.08333333333333333,180431,177255,3176,hYaxJrXs5WChwJSuYEMdDh,2025-02-01T16:01:42-05:00,2025-02-01T16:01:42-05:00,2025-02-09T16:07:56,2025-02-01T15-59-54-05-00_lab-bench_4psp4SUyL6mNXvYfcYkXYN.json,False
together/deepseek-ai/DeepSeek-V3,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.24242424242424243,0.07575757575757576,181150,177255,3895,5Mf4VNVreSrp6RGwmuGKf9,2025-02-01T15:51:37-05:00,2025-02-01T15:51:37-05:00,2025-02-09T16:07:56,2025-02-01T15-49-34-05-00_lab-bench_hMkECPFyE9FRcnAyryeq2M.json,False
together/deepseek-ai/DeepSeek-V3,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.42424242424242425,0.08736789844447572,180259,177254,3005,TWMLncJxXyhVn6hLwXACGz,2025-02-01T15:56:28-05:00,2025-02-01T15:56:28-05:00,2025-02-09T16:07:56,2025-02-01T15-54-41-05-00_lab-bench_BtSawg4a55kSXDbh3nNiQy.json,False
together/deepseek-ai/DeepSeek-V3,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3939393939393939,0.08637692614387409,178411,177254,1157,Uwb8PfBqGLZggyxmyFF7BR,2025-02-01T16:02:05-05:00,2025-02-01T16:02:05-05:00,2025-02-09T16:07:56,2025-02-01T16-01-43-05-00_lab-bench_5vzbQSJJYrw4mDcaYLUGeY.json,False
