inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8869230769230769,0.00878669179441574,819035,815135,3900,aKq2pCiuxFpmqx278qkk2Y,2024-11-05T11:45:29-05:00,2024-11-05T11:45:29-05:00,2025-01-28T12:15:24,2024-11-05T11-44-09-05-00_mmlu_doy3sNTt7M4TnmTt4XyScC.json,False
openai/gpt-4o,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8846153846153846,0.008864344416693619,815034,811134,3900,gLdCb6eawGivrGUpmfe8iT,2024-11-05T16:09:45-05:00,2024-11-05T16:09:45-05:00,2025-01-28T12:15:24,2024-11-05T16-08-22-05-00_mmlu_fi6Eom2ebA3ibj5Nsguygt.json,False
openai/gpt-4o,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8753846153846154,0.009163907788312258,827418,823518,3900,27RDVKgccdjptYGa4Zksqy,2024-11-05T16:14:09-05:00,2024-11-05T16:14:09-05:00,2025-01-28T12:15:24,2024-11-05T16-12-53-05-00_mmlu_AYw5QpLywuRezsVaontmWf.json,False
openai/gpt-4o,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8846153846153846,0.008864344416693619,820509,816609,3900,Y59wQZPaEsMPR6GTNKXGkN,2024-11-05T11:43:59-05:00,2024-11-05T11:43:59-05:00,2025-01-28T12:15:24,2024-11-05T11-42-31-05-00_mmlu_QHZa8JEQcgjVKce4LAsaG3.json,False
openai/gpt-4o,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8792307692307693,0.009041177874506154,829531,825631,3900,j5GcogDHPvt4LzMxqS2oSY,2024-11-05T16:06:32-05:00,2024-11-05T16:06:32-05:00,2025-01-28T12:15:24,2024-11-05T16-05-13-05-00_mmlu_fDstZXMhDBKqS3z9u74A4V.json,False
openai/gpt-4o,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8792307692307693,0.009041177874506154,814278,810371,3907,MXSQJVoVoDtyfentKaLU7D,2024-11-05T16:08:13-05:00,2024-11-05T16:08:13-05:00,2025-01-28T12:15:25,2024-11-05T16-06-40-05-00_mmlu_crsZQG7iNtL6CAPLUng7RH.json,False
openai/gpt-4o,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8853846153846154,0.008838587550523094,822756,818856,3900,L8wAip6T5ZgwNk63sQkHj5,2024-11-05T11:42:19-05:00,2024-11-05T11:42:19-05:00,2025-01-28T12:15:25,2024-11-05T11-40-47-05-00_mmlu_cdejpHDC9hZLMN9qwnLtzV.json,False
openai/gpt-4o,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8815384615384615,0.008966124012366215,820988,817088,3900,Y6AsV5WroJXqC47mbyRX8V,2024-11-05T16:11:24-05:00,2024-11-05T16:11:24-05:00,2025-01-28T12:15:25,2024-11-05T16-09-58-05-00_mmlu_kUt9HDE8N2VeqkWg52e3EP.json,False
openai/gpt-4o,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8784615384615385,0.009065957265696634,814123,810225,3898,7HNR4s7FnKvhDfbCo8e7Pp,2024-11-05T16:12:44-05:00,2024-11-05T16:12:44-05:00,2025-01-28T12:15:25,2024-11-05T16-11-32-05-00_mmlu_3uUjbVvYzECLnidEVs8TvK.json,False
openai/gpt-4o,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8815384615384615,0.008966124012366215,823709,803428,20281,B32motbYM5LQPP7TE8hv73,2024-11-05T11:49:49-05:00,2024-11-05T11:49:49-05:00,2025-01-28T12:15:25,2024-11-05T11-45-42-05-00_mmlu_RXkBs84ivbgwwpx2VeBbCo.json,False
