inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.742,0.019586711785215868,194548,192048,2500,Zcoyr2D5Y4bBAwYfqDZn9F,2025-01-21T16:32:28-05:00,2025-01-21T16:32:28-05:00,2025-01-28T12:07:31,2025-01-21T16-31-54-05-00_pubmedqa_KHDPa6AvPaxEYSphpuAeem.json,False
openai/gpt-4-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.746,0.01948659680164342,194548,192048,2500,NXDbzeo2awzpkaaPKdHvDJ,2025-01-21T16:35:10-05:00,2025-01-21T16:35:10-05:00,2025-01-28T12:07:31,2025-01-21T16-34-29-05-00_pubmedqa_MuerHYbmHWZ6bQTkHP2g49.json,False
openai/gpt-4-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.758,0.019173085678337164,194549,192048,2501,2V4SJiED9PJCfGVAQh7Qxj,2025-01-21T16:35:58-05:00,2025-01-21T16:35:58-05:00,2025-01-28T12:07:31,2025-01-21T16-35-12-05-00_pubmedqa_VfwmmuJDUntvWRmd8wZSU2.json,False
openai/gpt-4-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.754,0.019279819056352458,194548,192048,2500,dWb7Lw4iZaLYbAw56bgAm6,2025-01-21T16:33:48-05:00,2025-01-21T16:33:48-05:00,2025-01-28T12:07:31,2025-01-21T16-33-07-05-00_pubmedqa_gM6TUB9cjWGRiHpvbSsA2U.json,False
openai/gpt-4-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.752,0.01933234282123912,194548,192048,2500,LN36ztaghaPmKgGxyrCi49,2025-01-21T16:31:52-05:00,2025-01-21T16:31:52-05:00,2025-01-28T12:07:31,2025-01-21T16-29-47-05-00_pubmedqa_QtFyP9ZK6LCpxHF2exgBhY.json,False
openai/gpt-4-turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.734,0.019780559675655396,194048,192048,2000,G4HB2zpsrxVPAyybrPeurc,2024-09-19T17:05:07-04:00,2024-09-19T17:05:07-04:00,2025-01-28T12:07:31,2024-09-19T17-04-17-04-00_benchmarks-pubmedqa_ZYoRgyn6hS5uyNbfQbZ3M9.json,False
openai/gpt-4-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.754,0.019279819056352458,194548,192048,2500,hJhExGbTRM9rR5PGfQhysX,2025-01-21T16:29:45-05:00,2025-01-21T16:29:45-05:00,2025-01-28T12:07:31,2025-01-21T16-29-08-05-00_pubmedqa_79WEGj3V4w58pwoumxPkfP.json,False
openai/gpt-4-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.76,0.019118866653759798,194548,192048,2500,2uyjZ5MDoPq6A2AH22qzZL,2025-01-21T16:29:07-05:00,2025-01-21T16:29:07-05:00,2025-01-28T12:07:31,2025-01-21T16-28-29-05-00_pubmedqa_ENDiFZFwfAQnseYCvrDk7k.json,False
openai/gpt-4-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.746,0.01948659680164342,194548,192048,2500,jNztV5kBsoxYT8q5mZdtGD,2025-01-21T16:34:28-05:00,2025-01-21T16:34:28-05:00,2025-01-28T12:07:31,2025-01-21T16-33-50-05-00_pubmedqa_Vx5KypodbjKDZGgFBE56gC.json,False
openai/gpt-4-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.756,0.01922673489361464,194548,192048,2500,DKQuFo3m9JMy7CwHJiGPNa,2025-01-21T16:33:06-05:00,2025-01-21T16:33:06-05:00,2025-01-28T12:07:31,2025-01-21T16-32-29-05-00_pubmedqa_5FiVu8Z6SYqtb7FjaM7Zy2.json,False
