inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/deepseek-ai/DeepSeek-V3,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.72,0.020099950647503192,185378,183378,2000,3HRdKDRzZLNXt9ikrvjw9s,2025-02-01T17:47:15-05:00,2025-02-01T17:47:15-05:00,2025-02-09T16:09:01,2025-02-01T17-46-38-05-00_pubmedqa_oVNvVeNZMkS9opWUiQGwLp.json,False
together/deepseek-ai/DeepSeek-V3,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.708,0.020354375480530096,185378,183378,2000,CKQaoJ6vKmkPHtyPK7Ly4W,2025-02-01T17:33:13-05:00,2025-02-01T17:33:13-05:00,2025-02-09T16:09:01,2025-02-01T17-32-37-05-00_pubmedqa_TAmP8mLsgSEHy8sFhAr4P2.json,False
together/deepseek-ai/DeepSeek-V3,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.73,0.019874354831287477,185378,183378,2000,BSuJZrGLRT5c6gUQtJQrzz,2025-02-01T17:35:33-05:00,2025-02-01T17:35:33-05:00,2025-02-09T16:09:01,2025-02-01T17-33-15-05-00_pubmedqa_ekjDRvZ9kq8oQooKhwGSe8.json,False
together/deepseek-ai/DeepSeek-V3,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.722,0.020055833888070872,185378,183378,2000,6gdJn7ppcHmZKFeDigsujb,2025-02-01T17:46:00-05:00,2025-02-01T17:46:00-05:00,2025-02-09T16:09:01,2025-02-01T17-39-38-05-00_pubmedqa_XAu9CSHVifbuYKDpgKDyHt.json,False
together/deepseek-ai/DeepSeek-V3,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.734,0.019780559675655396,185382,183378,2004,oJMYNHdTTjnF95UocD3YJb,2025-02-01T17:47:53-05:00,2025-02-01T17:47:53-05:00,2025-02-09T16:09:01,2025-02-01T17-47-16-05-00_pubmedqa_2dJjscJqu8CS9FGhTzE3Wv.json,False
together/deepseek-ai/DeepSeek-V3,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.728,0.019920483209566107,185378,183378,2000,kLhCXh5X9JFr6tBJzV4Lgh,2025-02-01T17:38:59-05:00,2025-02-01T17:38:59-05:00,2025-02-09T16:09:01,2025-02-01T17-36-13-05-00_pubmedqa_kSoqFWKz9brURAHxYLdYam.json,False
together/deepseek-ai/DeepSeek-V3,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.72,0.020099950647503192,185378,183378,2000,27Ed8BrRvwKgFXQiKEp4Ff,2025-02-01T17:46:37-05:00,2025-02-01T17:46:37-05:00,2025-02-09T16:09:01,2025-02-01T17-46-01-05-00_pubmedqa_oDxkeQLLKYVFV5BDEVq7nw.json,False
together/deepseek-ai/DeepSeek-V3,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.728,0.019920483209566103,185378,183378,2000,VVdULzUDRavvFQZsQeKQUy,2025-02-01T17:32:35-05:00,2025-02-01T17:32:35-05:00,2025-02-09T16:09:01,2025-02-01T17-26-56-05-00_pubmedqa_QWDiUmAp7ehSBY9z9EgJVp.json,False
together/deepseek-ai/DeepSeek-V3,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.726,0.019966103540279518,185378,183378,2000,4cUhxZ9ZeAn3oD4wMuMSoD,2025-02-01T17:36:11-05:00,2025-02-01T17:36:11-05:00,2025-02-09T16:09:01,2025-02-01T17-35-35-05-00_pubmedqa_A7LwUQjPW3k3Yb9PjHoBZW.json,False
together/deepseek-ai/DeepSeek-V3,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.726,0.019966103540279518,185378,183378,2000,KBVzTYf2Rx6s3ozbgasexx,2025-02-01T17:39:37-05:00,2025-02-01T17:39:37-05:00,2025-02-09T16:09:01,2025-02-01T17-39-00-05-00_pubmedqa_Z7bSsC2S8nTt94nRUb7tGB.json,False
