inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4371859296482412,0.03525193544123143,149914,20747,129167,6WTTWJDtQdR4czDnBmDDHb,2025-01-31T21:08:33-05:00,2025-01-31T21:08:33-05:00,2025-02-09T16:08:02,2025-01-31T21-02-57-05-00_lab-bench_bv3pDxcgdFvnJrASuZgoSU.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3768844221105528,0.03443941793177597,147360,20748,126612,3Jg4GfyLowoeTRYqqJBEhS,2025-01-31T21:19:47-05:00,2025-01-31T21:19:47-05:00,2025-02-09T16:08:02,2025-01-31T21-17-18-05-00_lab-bench_dzmgUUNotao7LqaLxQJ5ip.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4120603015075377,0.034979547374003786,148293,20752,127541,bvR76PnxvEneoeryfmA95J,2025-01-31T20:58:01-05:00,2025-01-31T20:58:01-05:00,2025-02-09T16:08:02,2025-01-31T20-55-17-05-00_lab-bench_UZnHnxy35yiH2EekZnx845.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3969849246231156,0.03477110537378155,146583,20751,125832,WHT5bQVMzKYPSPvfJG9iP9,2025-01-31T21:22:08-05:00,2025-01-31T21:22:08-05:00,2025-02-09T16:08:02,2025-01-31T21-19-48-05-00_lab-bench_T3Atx4jrmz2vHJp47EtvCf.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4321608040201005,0.03520487250258458,157024,20748,136276,cmNbzQG86iUwge6uAV9KxT,2025-01-31T20:55:15-05:00,2025-01-31T20:55:15-05:00,2025-02-09T16:08:02,2025-01-31T20-52-51-05-00_lab-bench_TBboWNPxxPHsGr2jUmdT5F.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.39195979899497485,0.034693995271705164,148333,20750,127583,fyc3SnPTAB6wMYs453JDSG,2025-01-31T21:26:16-05:00,2025-01-31T21:26:16-05:00,2025-02-09T16:08:02,2025-01-31T21-22-09-05-00_lab-bench_7Z7bazWaEpbQKzwHbcutBJ.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4221105527638191,0.03509965855032934,152015,20748,131267,mUF4Mcz8Wip2bJFwo4qH2e,2025-01-31T21:17:17-05:00,2025-01-31T21:17:17-05:00,2025-02-09T16:08:02,2025-01-31T21-11-26-05-00_lab-bench_64epSFBVamhJxLmDYeapba.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3969849246231156,0.03477110537378155,150677,20749,129928,UCoTvYZFHdog364Sr9HGvV,2025-01-31T21:28:08-05:00,2025-01-31T21:28:08-05:00,2025-02-09T16:08:02,2025-01-31T21-26-18-05-00_lab-bench_jEKHbfRhbW8TqZ733C2wbu.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.36683417085427134,0.03425003590265246,144571,20749,123822,g5sDiKfqeRdXacCSdRGpw9,2025-01-31T21:11:25-05:00,2025-01-31T21:11:25-05:00,2025-02-09T16:08:02,2025-01-31T21-08-34-05-00_lab-bench_aQtnWVTzoVNNoJy4U7iPVZ.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4723618090452261,0.035479125346565554,151079,20750,130329,RUgaB7brrgbRKdhYNXkwAC,2025-01-31T21:02:55-05:00,2025-01-31T21:02:55-05:00,2025-02-09T16:08:02,2025-01-31T20-58-02-05-00_lab-bench_HLscf8vkVqq33cVJBieQ8w.json,False
