inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.734,0.019780559675655396,189952,188452,1500,5RmUuQfRGiFy2FEBfdYsK4,2024-10-02T20:44:20-04:00,2024-10-02T20:44:20-04:00,2025-01-28T12:07:27,2024-10-02T20-43-56-04-00_benchmarks-pubmedqa_YGVuk99XK3zpb5Xqe9KTqS.json,False
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.724,0.020011219298073545,189954,188452,1502,eiKdZpgdQ9eb9XMMH2ULk9,2024-10-02T20:46:17-04:00,2024-10-02T20:46:17-04:00,2025-01-28T12:07:27,2024-10-02T20-45-56-04-00_benchmarks-pubmedqa_Uiiaar3y55mPtcdqZzUzBE.json,False
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.716,0.020186703693570774,189952,188452,1500,mwV9pK3EVpt73v2zpAyUk8,2024-10-02T20:45:08-04:00,2024-10-02T20:45:08-04:00,2025-01-28T12:07:27,2024-10-02T20-44-46-04-00_benchmarks-pubmedqa_AB5VpUQKiAXptFcP22fazg.json,False
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.72,0.020099950647503192,189952,188452,1500,dF8bSpYSB5bnRNjmtPp7Ra,2024-10-02T20:43:55-04:00,2024-10-02T20:43:55-04:00,2025-01-28T12:07:27,2024-10-02T20-43-34-04-00_benchmarks-pubmedqa_JzCY6iNheQSdPp6BoPfVCB.json,False
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.718,0.020143572847290726,189952,188452,1500,eVe8bVEuWXJtnuJupXPs2h,2024-10-02T20:44:45-04:00,2024-10-02T20:44:45-04:00,2025-01-28T12:07:27,2024-10-02T20-44-21-04-00_benchmarks-pubmedqa_jTEccKcywffuet3gBUimTD.json,False
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.724,0.020011219298073545,189952,188452,1500,Qdatw7boNxaVCSFh7ZxUHZ,2024-10-02T20:43:33-04:00,2024-10-02T20:43:33-04:00,2025-01-28T12:07:27,2024-10-02T20-43-09-04-00_benchmarks-pubmedqa_mjtA3gvDVj2QA4pH24wHoM.json,False
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.734,0.019780559675655396,189952,188452,1500,SFtp9ycGQ6C6CRrTSKrgLZ,2024-10-02T20:45:31-04:00,2024-10-02T20:45:31-04:00,2025-01-28T12:07:27,2024-10-02T20-45-09-04-00_benchmarks-pubmedqa_HDdFz9iD8yXuGvNJqCPZJ6.json,False
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.754,0.019279819056352458,189952,188452,1500,UdNuDuaoJv4gsry7FZhdBB,2024-09-19T17:05:34-04:00,2024-09-19T17:05:34-04:00,2025-01-28T12:07:27,2024-09-19T17-05-08-04-00_benchmarks-pubmedqa_k6VzVHBEHMfDGdZkFzzMCk.json,False
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.732,0.019827714859587477,189952,188452,1500,gQc54JraZa5g38AiapYj2H,2024-10-02T20:43:08-04:00,2024-10-02T20:43:08-04:00,2025-01-28T12:07:27,2024-10-02T20-42-41-04-00_benchmarks-pubmedqa_fF4LNFtdAHZnmJCBs9q9kZ.json,False
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.728,0.019920483209566107,189952,188452,1500,ej5GfyYrwtXxhBfEWqKne2,2024-10-02T20:45:55-04:00,2024-10-02T20:45:55-04:00,2025-01-28T12:07:27,2024-10-02T20-45-32-04-00_benchmarks-pubmedqa_Uk9SLbAJiJSZxgaBuHVkwt.json,False
