inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.42424242424242425,0.08736789844447572,1146516,1146417,99,3c5NTdoAeTtwbznZamiqN8,2024-11-06T13:13:50-05:00,2024-11-06T13:13:50-05:00,2025-01-28T12:15:12,2024-11-06T13-13-00-05-00_lab-bench_Y6xxPvHMhn44DudJxzeNVG.json,False
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.36363636363636365,0.08503766788122594,1244519,1244420,99,5k3ZDwzAqi7hdkXRwte3Z5,2024-11-06T13:14:47-05:00,2024-11-06T13:14:47-05:00,2025-01-28T12:15:12,2024-11-06T13-13-51-05-00_lab-bench_6q52h2hB9DnVnn2mG5C5qp.json,False
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.48484848484848486,0.08834775598250455,1125725,1125626,99,Tda3g7Tdq574TGRXLUtomf,2024-11-06T13:15:37-05:00,2024-11-06T13:15:37-05:00,2025-01-28T12:15:12,2024-11-06T13-14-48-05-00_lab-bench_74PUtbfkj6Y3BzLcjE3yM4.json,False
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.08637692614387409,1228194,1228095,99,8tWtrZFyBhb2yPuA5kxiWt,2024-11-06T13:09:15-05:00,2024-11-06T13:09:15-05:00,2025-01-28T12:15:12,2024-11-06T13-08-56-05-00_lab-bench_k3zaicchTttyF6VuD8zDCL.json,False
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.30303030303030304,0.08124094920275461,1299538,1299439,99,5mdiqaSTpzxA5RgRMiwNTw,2024-11-06T13:11:14-05:00,2024-11-06T13:11:14-05:00,2025-01-28T12:15:12,2024-11-06T13-10-14-05-00_lab-bench_YrTqqgBghq7ZjeyoTZ9ujW.json,False
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5151515151515151,0.08834775598250455,1097479,1097380,99,JCUtFEczxJuufAy4S8KGmV,2024-11-06T13:17:24-05:00,2024-11-06T13:17:24-05:00,2025-01-28T12:15:12,2024-11-06T13-16-37-05-00_lab-bench_U2GDeTQD6e5Yp8rD2VRj5k.json,False
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.36363636363636365,0.08503766788122595,1115094,1114995,99,csDeA8n3SPXHtNtZWt8oZS,2024-11-06T13:12:59-05:00,2024-11-06T13:12:59-05:00,2025-01-28T12:15:12,2024-11-06T13-12-08-05-00_lab-bench_LWJJp4KYYXSi8wyG5JRtFR.json,False
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.42424242424242425,0.08736789844447572,1201708,1201601,107,28ghKJgpdCQF5ym3CYk8jH,2024-11-06T13:10:13-05:00,2024-11-06T13:10:13-05:00,2025-01-28T12:15:12,2024-11-06T13-09-16-05-00_lab-bench_fHTFvfHQjkF2U6W8iSomnP.json,False
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.45454545454545453,0.08802234877744129,1200676,1200577,99,KuYNC6JY2Pjpmu5sQxggVX,2024-11-06T13:12:07-05:00,2024-11-06T13:12:07-05:00,2025-01-28T12:15:12,2024-11-06T13-11-15-05-00_lab-bench_5uRFpNsu6mjMeuUpeBcBdo.json,False
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.30303030303030304,0.08124094920275461,1246835,1246736,99,nBVhzweWnGskZjXzqCY9Le,2024-11-06T13:16:36-05:00,2024-11-06T13:16:36-05:00,2025-01-28T12:15:12,2024-11-06T13-15-38-05-00_lab-bench_RpEAXSMsBeoKrUcnSXE4pE.json,False
