inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.706,0.02039509548493655,195295,192048,3247,4UPMXUEYSJcxeeNHsMUJZE,2025-01-21T16:42:35-05:00,2025-01-21T16:42:35-05:00,2025-01-28T12:07:30,2025-01-21T16-41-48-05-00_pubmedqa_dxeEoJUwGrHUoj9QEeFjo9.json,False
openai/gpt-4,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.7,0.020514426225627987,195273,192048,3225,cMVKYq7YzqmsNsLuYt6UtN,2025-01-21T16:41:46-05:00,2025-01-21T16:41:46-05:00,2025-01-28T12:07:30,2025-01-21T16-41-03-05-00_pubmedqa_J9ys9FDwX6HgtSBTB2ixwV.json,False
openai/gpt-4,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.7,0.020514426225627984,195282,192048,3234,kH7YygxjAzJGuHNetfKWzB,2025-01-21T16:40:09-05:00,2025-01-21T16:40:09-05:00,2025-01-28T12:07:30,2025-01-21T16-39-18-05-00_pubmedqa_VsNgK2nUBggjEmmDLWpcoa.json,False
openai/gpt-4,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.704,0.02043534209189623,195295,192048,3247,gER9eiZoJUSEhMeNsPzqrc,2025-01-21T16:44:06-05:00,2025-01-21T16:44:06-05:00,2025-01-28T12:07:30,2025-01-21T16-43-21-05-00_pubmedqa_MtXsDLJMhX7KYfe2F5qoNo.json,False
openai/gpt-4,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.71,0.020313179231745138,195293,192048,3245,S52U4Yr5WgPcoyrqzQbvf2,2025-01-21T16:41:02-05:00,2025-01-21T16:41:02-05:00,2025-01-28T12:07:30,2025-01-21T16-40-11-05-00_pubmedqa_GfXXY9JKqXmfAkQCZSHHp7.json,False
openai/gpt-4,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.696,0.02059164957122494,195253,192048,3205,CSazerFBzDdcncz5vwQkTe,2025-01-21T16:43:20-05:00,2025-01-21T16:43:20-05:00,2025-01-28T12:07:30,2025-01-21T16-42-37-05-00_pubmedqa_FKJsVTdpUnx6bRE7Nd488U.json,False
openai/gpt-4,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.716,0.020186703693570777,195264,192048,3216,H3aXrVXzUzZdSbknFXJZcR,2025-01-21T16:39:17-05:00,2025-01-21T16:39:17-05:00,2025-01-28T12:07:30,2025-01-21T16-38-29-05-00_pubmedqa_n657iKo55D9gxfp8qXxRuj.json,False
openai/gpt-4,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.702,0.020475118092988954,194790,192048,2742,bacNAMzqnQ87TGy49He2az,2024-09-19T17:04:12-04:00,2024-09-19T17:04:12-04:00,2025-01-28T12:07:30,2024-09-19T16-58-40-04-00_benchmarks-pubmedqa_5qGSGKwDbLahUAA4mhyzNy.json,False
openai/gpt-4,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.7,0.020514426225627987,195242,192048,3194,Xa9dWB7w4NzdqobhhRaZLN,2025-01-21T16:38:28-05:00,2025-01-21T16:38:28-05:00,2025-01-28T12:07:30,2025-01-21T16-37-43-05-00_pubmedqa_MtHJcvcQafLf7g3dkXMYCf.json,False
openai/gpt-4,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.7,0.020514426225627984,195288,192048,3240,CgEZt6dVre5qXatnfKrQZ7,2025-01-21T16:37:41-05:00,2025-01-21T16:37:41-05:00,2025-01-28T12:07:30,2025-01-21T16-36-46-05-00_pubmedqa_9s7oTEKetEAFKnW7ATRssc.json,False
