inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.42424242424242425,0.08603395906609154,214183,198013,16170,TjzYUrPHtFP4xs82YR5bEn,2024-11-07T11:51:12-05:00,2024-11-07T11:51:12-05:00,2025-01-28T12:15:46,2024-11-07T11-50-30-05-00_lab-bench_322JX7TvGpjV3gDyyWpRDc.json,True
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.36363636363636365,0.08373930663124332,215674,198014,17660,kebopHNfXDShNxFH9B2F3q,2024-11-07T11:48:57-05:00,2024-11-07T11:48:57-05:00,2025-01-28T12:15:46,2024-11-07T11-48-12-05-00_lab-bench_E2AkBhePKR8MzbHuohyhyh.json,True
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.3333333333333333,0.08206099398622183,214796,198013,16783,QDwiBRXEM3HVa6h7yR56eu,2024-11-07T11:54:55-05:00,2024-11-07T11:54:55-05:00,2025-01-28T12:15:46,2024-11-07T11-54-23-05-00_lab-bench_BTJ6fpmT6KvJCLsyedrk3s.json,True
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.36363636363636365,0.08373930663124332,215341,198012,17329,CLABqcpvXeLBsFHWMXyTZv,2024-11-07T11:52:00-05:00,2024-11-07T11:52:00-05:00,2025-01-28T12:15:46,2024-11-07T11-51-13-05-00_lab-bench_VWMXjNE7Mgq5QyFH4qqXMJ.json,True
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.5151515151515151,0.08699885606851798,215550,198012,17538,46ZCJSrQCodkxHaYe6DnfX,2024-11-07T11:52:47-05:00,2024-11-07T11:52:47-05:00,2025-01-28T12:15:46,2024-11-07T11-52-01-05-00_lab-bench_TWJENRk5xiHZTPry3MzTwL.json,True
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.3939393939393939,0.08505811700208933,215314,198013,17301,9yXK2EubsqoY7a2bdXaXNZ,2024-11-07T11:54:22-05:00,2024-11-07T11:54:22-05:00,2025-01-28T12:15:46,2024-11-07T11-53-34-05-00_lab-bench_GeREvHm75GSbqt5xBVRnts.json,True
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.42424242424242425,0.08603395906609154,215121,198013,17108,a3W4sVqkT3yGggqyWPG7Wr,2024-11-07T11:50:29-05:00,2024-11-07T11:50:29-05:00,2025-01-28T12:15:46,2024-11-07T11-49-41-05-00_lab-bench_FeBrNXcibqfk9wPEYFigPN.json,True
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.45454545454545453,0.08667841720414475,215036,198012,17024,4FbQkcWvjTekhCnXNognh7,2024-11-07T11:53:33-05:00,2024-11-07T11:53:33-05:00,2025-01-28T12:15:46,2024-11-07T11-52-48-05-00_lab-bench_JPPTnNfSWfUkxGR2LbL5Je.json,True
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.2727272727272727,0.07752753322022198,214501,198013,16488,mtQfUHNQMiiPJfaSgr77p6,2024-11-07T11:49:40-05:00,2024-11-07T11:49:40-05:00,2025-01-28T12:15:46,2024-11-07T11-48-58-05-00_lab-bench_euHBYpbRTAXXRX2gRbAjGe.json,True
openai/gpt-4o,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.3939393939393939,0.08505811700208933,215007,198013,16994,8X2wnHNLoddBDTc4tFGECr,2024-11-07T11:55:39-05:00,2024-11-07T11:55:39-05:00,2025-01-28T12:15:46,2024-11-07T11-54-56-05-00_lab-bench_VAingQPh6qqDmnEScfyCN6.json,True
