inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.708,0.020354375480530096,1028517,1027017,1500,DaMBvkjRE7kC5WVBZdNjqB,2024-11-05T21:58:49-05:00,2024-11-05T21:58:49-05:00,2025-01-28T12:15:31,2024-11-05T21-57-30-05-00_pubmedqa_9Cm3XGSAK65GgJhShFwoYo.json,False
openai/gpt-4o,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.71,0.020313179231745138,1034281,1032781,1500,FCoFKtAF2CQCVHRa27QJAv,2024-11-05T21:56:34-05:00,2024-11-05T21:56:34-05:00,2025-01-28T12:15:31,2024-11-05T21-54-54-05-00_pubmedqa_6vEhLzCDQEgRhnnimiPnpp.json,False
openai/gpt-4o,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.742,0.01958671178521587,1030942,1029442,1500,beaoJGAwVoKWmVzm9jaKk3,2024-11-05T22:02:35-05:00,2024-11-05T22:02:35-05:00,2025-01-28T12:15:31,2024-11-05T22-01-22-05-00_pubmedqa_gwhZcEif33AW2iYWYkz6hh.json,False
openai/gpt-4o,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.718,0.020143572847290726,1029384,1027884,1500,CYumP9rD7HAyFUW67vvsZb,2024-11-05T22:03:55-05:00,2024-11-05T22:03:55-05:00,2025-01-28T12:15:31,2024-11-05T22-02-36-05-00_pubmedqa_3T85foztfKHhrgypSeQhuK.json,False
openai/gpt-4o,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.716,0.020186703693570774,1024304,1022804,1500,Y5d4TJNNkMKCLCNeYNMut4,2024-11-05T22:00:13-05:00,2024-11-05T22:00:13-05:00,2025-01-28T12:15:31,2024-11-05T21-58-50-05-00_pubmedqa_BcqNHEDDZQeyyoYbLfV4XQ.json,False
openai/gpt-4o,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.712,0.020271503835075255,1025101,1023601,1500,fSGKgHBSNPVpyaWnrC8uKx,2024-11-05T22:01:21-05:00,2024-11-05T22:01:21-05:00,2025-01-28T12:15:31,2024-11-05T22-00-15-05-00_pubmedqa_gLZb3qkhz32wpwcNjS4WEp.json,False
openai/gpt-4o,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.724,0.02001121929807355,1028532,1027032,1500,4y3XqKPyBzChEtn8S5HFHA,2024-11-05T21:52:27-05:00,2024-11-05T21:52:27-05:00,2025-01-28T12:15:31,2024-11-05T21-51-57-05-00_pubmedqa_StpuZc8BQzJEo27kpcQg5d.json,False
openai/gpt-4o,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.724,0.020011219298073545,1025226,1023726,1500,eSsAAsL6NCjN7eady7o7Qv,2024-11-05T21:54:53-05:00,2024-11-05T21:54:53-05:00,2025-01-28T12:15:31,2024-11-05T21-53-44-05-00_pubmedqa_hrW8rvvq6BXKL7CuccWLVx.json,False
openai/gpt-4o,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.716,0.020186703693570774,1030272,1028772,1500,iRfAv29UWxj6jzBNM778M6,2024-11-05T21:57:29-05:00,2024-11-05T21:57:29-05:00,2025-01-28T12:15:31,2024-11-05T21-56-35-05-00_pubmedqa_DumZatcRqWnkmHTdJBNDjf.json,False
openai/gpt-4o,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.718,0.020143572847290726,1033648,1032148,1500,XjBSAVutun2GBZcuAR5ZK5,2024-11-05T21:53:43-05:00,2024-11-05T21:53:43-05:00,2025-01-28T12:15:31,2024-11-05T21-52-28-05-00_pubmedqa_JUQCcaiuoE6tQcZrb33sFF.json,False
