inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.36363636363636365,0.08503766788122594,197550,197451,99,48VNCJtTxAMqtzf8bTTvRK,2024-10-03T08:44:47-04:00,2024-10-03T08:44:47-04:00,2025-01-28T12:06:43,2024-10-03T08-44-44-04-00_benchmarks-lab-bench_Jyj6HcHPMngQcKtFaE4rbb.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.36363636363636365,0.08503766788122595,197551,197452,99,A975uH49MbSFwXTAuAdY5i,2024-10-03T08:45:16-04:00,2024-10-03T08:45:16-04:00,2025-01-28T12:06:43,2024-10-03T08-45-06-04-00_benchmarks-lab-bench_Yb27DXmeGYM8rgYiwDNkWc.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.48484848484848486,0.08834775598250455,197555,197452,103,avbBbeUZf8tB44Manrth9g,2024-10-03T08:44:38-04:00,2024-10-03T08:44:38-04:00,2025-01-28T12:06:43,2024-10-03T08-44-35-04-00_benchmarks-lab-bench_Y92wZBZY6kN2fb4xvRFtjN.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.36363636363636365,0.08503766788122594,197551,197452,99,EEyX9VnPXSumvohDv6jYJQ,2024-10-03T08:44:43-04:00,2024-10-03T08:44:43-04:00,2025-01-28T12:06:43,2024-10-03T08-44-40-04-00_benchmarks-lab-bench_GNAX9DmLbC9yE5uF4h5Gsy.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.48484848484848486,0.08834775598250455,197550,197451,99,j9xqVaNS4pTgiSkb9ko7r3,2024-10-03T08:44:54-04:00,2024-10-03T08:44:54-04:00,2025-01-28T12:06:43,2024-10-03T08-44-49-04-00_benchmarks-lab-bench_Le8R6RpE4zFJM9hFdWYJox.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.3939393939393939,0.0863769261438741,197551,197452,99,R5czF5VMrgjJ46QqgTqgEV,2024-10-03T08:44:32-04:00,2024-10-03T08:44:32-04:00,2025-01-28T12:06:43,2024-10-03T08-44-29-04-00_benchmarks-lab-bench_J6GxdAdHveHJ3KmBGPVaJK.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.3333333333333333,0.08333333333333333,197552,197453,99,WAPtrXhzqMTZnUF23Xe5Bm,2024-10-03T08:45:03-04:00,2024-10-03T08:45:03-04:00,2025-01-28T12:06:43,2024-10-03T08-44-56-04-00_benchmarks-lab-bench_dsA275zawCWqs42YwXx8Sw.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.3333333333333333,0.08333333333333333,197551,197452,99,RtYfoXfqswj832hR4cQw8K,2024-09-20T12:28:02-04:00,2024-09-20T12:28:02-04:00,2025-01-28T12:06:43,2024-09-20T12-27-58-04-00_benchmarks-lab-bench_oPgJsYsmxUtUSc4PUAA69C.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.36363636363636365,0.08503766788122595,197555,197452,103,aoGWXAE53DaMA9QGr6WeZW,2024-10-03T08:44:26-04:00,2024-10-03T08:44:26-04:00,2025-01-28T12:06:43,2024-10-03T08-44-21-04-00_benchmarks-lab-bench_gDCqEHkPUcrQ8NQCKKWit6.json,False
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.21212121212121213,0.07226812131946558,197555,197452,103,nK4R4cQUsB9tM6BEsBpdnf,2024-10-03T08:45:28-04:00,2024-10-03T08:45:28-04:00,2025-01-28T12:06:43,2024-10-03T08-45-20-04-00_benchmarks-lab-bench_5PHasQkQYdfT2UehCNaqEN.json,False
