inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.5-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.48484848484848486,0.08834775598250455,939265,939083,182,cQRWgniohk3MNxYec7HPrW,2024-11-06T13:08:09-05:00,2024-11-06T13:08:09-05:00,2025-01-28T12:15:13,2024-11-06T13-07-36-05-00_lab-bench_cQwCD7p7pqZJNfsX3t8A4C.json,False
google/gemini-1.5-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.08637692614387409,927602,927414,188,n8QTCuoGMdbMa6gFLkYX9r,2024-11-06T13:05:54-05:00,2024-11-06T13:05:54-05:00,2025-01-28T12:15:13,2024-11-06T13-05-03-05-00_lab-bench_FVGwXZ3w78oWtWE9HnDhKq.json,False
google/gemini-1.5-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.48484848484848486,0.08834775598250455,953505,953317,188,Vb98CRA7gYHTYuNwdjmLDH,2024-11-06T13:01:59-05:00,2024-11-06T13:01:59-05:00,2025-01-28T12:15:13,2024-11-06T13-01-36-05-00_lab-bench_7ETF9jmxMxxF9uM78MqrhF.json,False
google/gemini-1.5-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.48484848484848486,0.08834775598250455,1015369,1015170,199,FmhELQEGVJwp5n7c9n8APB,2024-11-06T13:04:21-05:00,2024-11-06T13:04:21-05:00,2025-01-28T12:15:13,2024-11-06T13-03-52-05-00_lab-bench_UqgbCQHCrMiHHme4bvU5Ln.json,False
google/gemini-1.5-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.42424242424242425,0.08736789844447572,965798,965644,154,EztiogfakGVA2DfnD63q4W,2024-11-06T13:07:35-05:00,2024-11-06T13:07:35-05:00,2025-01-28T12:15:13,2024-11-06T13-05-54-05-00_lab-bench_keuYU7Jf2rWMYbqJC6f743.json,False
google/gemini-1.5-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.08637692614387409,927645,927482,163,PDu9fzcZNJjnzRSED4YDmy,2024-11-06T13:05:02-05:00,2024-11-06T13:05:02-05:00,2025-01-28T12:15:13,2024-11-06T13-04-22-05-00_lab-bench_D7g8y2ZtTVyBSUWnkTaLiZ.json,False
google/gemini-1.5-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5757575757575758,0.08736789844447572,990074,989907,167,mx978NuFPzA8aHBDvZjLEY,2024-11-06T13:08:37-05:00,2024-11-06T13:08:37-05:00,2025-01-28T12:15:13,2024-11-06T13-08-10-05-00_lab-bench_8SxfHHFQYgfxeEeHoioMfX.json,False
google/gemini-1.5-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.0863769261438741,1053443,1053255,188,oEcQfBPyXMawRrHXWRNnnq,2024-11-06T13:02:37-05:00,2024-11-06T13:02:37-05:00,2025-01-28T12:15:13,2024-11-06T13-02-00-05-00_lab-bench_QzrANtGaXTshm9HejzncFU.json,False
google/gemini-1.5-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3333333333333333,0.08333333333333333,953387,953208,179,Jro6Y6vZ7hhaWm4obqAXGr,2024-11-06T13:08:54-05:00,2024-11-06T13:08:54-05:00,2025-01-28T12:15:13,2024-11-06T13-08-38-05-00_lab-bench_X6yVEe8eQVvwwpLWa8zozb.json,False
google/gemini-1.5-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.08637692614387409,961966,961801,165,Q4pcPE6bTVySc6WSxQZQmu,2024-11-06T13:03:50-05:00,2024-11-06T13:03:50-05:00,2025-01-28T12:15:13,2024-11-06T13-02-38-05-00_lab-bench_SkAns7f82Hqdd2ezHAqjsd.json,False
