path,inspect_model_name,epoch_model_name,epoch_model_publication_date,epoch_organization,benchmark,task_args,prompt_schema,total_samples,mean_accuracy,std_accuracy,mean_input_tokens,mean_output_tokens,num_runs,filenames
zero_shot/gpqa/claude-2.0,anthropic/claude-2.0,Claude 2,2023-07-11,Anthropic,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.5089743589743589,0.029638531426324298,23760,1272,10,"['2024-10-30T21-08-20-04-00_gpqa_NvhivvHT372SAT59BXxGSa.json', '2024-10-30T21-08-59-04-00_gpqa_2h2Ci5ByE3Vf3aPLDBJZSg.json', '2024-10-30T21-09-44-04-00_gpqa_Aw6RPFjVr9EDTBqBswUN3g.json', '2024-10-30T21-10-32-04-00_gpqa_P4d98poe59w94CK2V2Do5r.json', '2024-10-30T21-11-12-04-00_gpqa_9pYnSMyNCRi6sWq8CeZfuC.json', '2024-10-30T21-11-55-04-00_gpqa_NXFaXprKP6XDDe4YRogzFs.json', '2024-10-30T21-12-44-04-00_gpqa_YcMgGrXVNBJwrvT4DscDmj.json', '2024-10-30T21-13-27-04-00_gpqa_K6S6i6AB99MXDVvxfaY9H4.json', '2024-10-30T21-14-17-04-00_gpqa_DGJgkwmdrnDhSe6kGMQF5q.json', '2024-10-30T21-14-55-04-00_gpqa_e79SJtac2L34hHES6dGRtd.json']"
zero_shot/lab-bench-cloningscenarios/claude-2.0,anthropic/claude-2.0,Claude 2,2023-07-11,Anthropic,lab-bench-cloningscenarios,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3151515151515151,0.09497098402863158,162038,3294,10,"['2024-10-31T16-08-55-04-00_lab-bench_SndJxW5VKnE9HVYWLBqHKx.json', '2024-10-31T16-12-59-04-00_lab-bench_exByrZZkHfgtukAhoX3nwX.json', '2024-10-31T16-14-33-04-00_lab-bench_MuZZR9vKHypfvjJCpyYcpE.json', '2024-10-31T16-15-57-04-00_lab-bench_N6p3QebL9uwRurTx6rG45q.json', '2024-10-31T16-17-23-04-00_lab-bench_V36B9SDVNv2CXA3t99jsAr.json', '2024-10-31T16-18-53-04-00_lab-bench_adW8XyWrC7ycbChj8YhDgM.json', '2024-10-31T16-22-09-04-00_lab-bench_BcE4FFNwjinEYpRigJsSPo.json', '2024-10-31T16-24-02-04-00_lab-bench_BQaah2ccpjs7UxeXyq4AqL.json', '2024-10-31T16-25-38-04-00_lab-bench_dR9cca5et4d6pgndbR5ZJb.json', '2024-10-31T16-27-45-04-00_lab-bench_KqypkEtK6DxwC5CNd43w9L.json']"
zero_shot/lab-bench-litqa2/claude-2.0,anthropic/claude-2.0,Claude 2,2023-07-11,Anthropic,lab-bench-litqa2,{'subset': 'LitQA2'},zero_shot,199,0.364321608040201,0.036564288028380354,22938,1821,10,"['2024-10-31T17-11-29-04-00_lab-bench_KQVRYTkpKmuBpytx7SBmBr.json', '2024-10-31T17-12-38-04-00_lab-bench_eUjhJiqbD9BrA5kug8eqHo.json', '2024-10-31T17-13-58-04-00_lab-bench_Sfvn3bBoZBzzP7orM3UTG3.json', '2024-10-31T17-14-56-04-00_lab-bench_mHs6AvHhLwHuRD5VjHHafe.json', '2024-10-31T17-15-53-04-00_lab-bench_Xj3GNBqh2nCGoLppF5QSfZ.json', '2024-10-31T17-26-28-04-00_lab-bench_bdBpFhLx5GrnmiiE9zEwyQ.json', '2024-10-31T17-27-25-04-00_lab-bench_Rc5CAHUj2hFWB98kgavRfc.json', '2024-10-31T17-28-22-04-00_lab-bench_nyWmHLxmUC3WSEmYqMmBQZ.json', '2024-10-31T17-29-22-04-00_lab-bench_Hn8XYVRzsbKiw5pbewJEzq.json', '2024-10-31T17-30-21-04-00_lab-bench_TVWGYU7PY9e2kiuUDKdfdA.json']"
zero_shot/lab-bench-protocolqa/claude-2.0,anthropic/claude-2.0,Claude 2,2023-07-11,Anthropic,lab-bench-protocolqa,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.45092592592592584,0.04210446722909867,195202,3049,10,"['2024-10-31T15-30-30-04-00_lab-bench_ddyQqnNWQEJPsLjyUDZoDv.json', '2024-10-31T15-32-38-04-00_lab-bench_b38tCDMRz2nxfoXMNdyab3.json', '2024-10-31T15-34-49-04-00_lab-bench_fzRN56LrJ6Gyk4fL9ffmXJ.json', '2024-10-31T15-36-52-04-00_lab-bench_87b9tvYs3fR4czCKzKMwfb.json', '2024-10-31T15-39-13-04-00_lab-bench_HJ357pKXLUv5qYCk7LLuE9.json', '2024-10-31T15-41-26-04-00_lab-bench_FSfqiopNowyGRDzgMjbhpr.json', '2024-10-31T15-43-49-04-00_lab-bench_Z345Ykmom2yoG2gfC6iM3p.json', '2024-10-31T15-45-58-04-00_lab-bench_h4uD9Y4Eaty5nTQktxqdUj.json', '2024-10-31T15-48-09-04-00_lab-bench_3bSgw6ohfPZNpbU5CVpN8Z.json', '2024-10-31T15-50-10-04-00_lab-bench_cr6Z8drGBVv8QnsSsotALN.json']"
zero_shot/mmlu/claude-2.0,anthropic/claude-2.0,Claude 2,2023-07-11,Anthropic,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7625384615384615,0.0024338723025813854,197121,12557,10,"['2024-10-30T21-22-34-04-00_mmlu_R6WPuvnc6PQETJKqmbWCuZ.json', '2024-10-30T21-29-21-04-00_mmlu_XaMCgR4byikxgNMzca3kND.json', '2024-10-30T21-36-13-04-00_mmlu_4CoXsxJJHskhHFKJqyZiSG.json', '2024-10-30T21-43-07-04-00_mmlu_KctpGxV64jBjCJFKg6oZe3.json', '2024-10-30T21-50-29-04-00_mmlu_EveorQCKrQjPTxdkQ4mnSP.json', '2024-10-30T21-57-46-04-00_mmlu_D2Q5VLmfBVzEDHeMBcGB6q.json', '2024-10-30T22-05-03-04-00_mmlu_oLoWPfTdUKMMSV6RX2BUEa.json', '2024-10-30T22-11-53-04-00_mmlu_h5oJ8cJnnYbi5BuqF5JuQt.json', '2024-10-30T22-18-34-04-00_mmlu_bzsgBd7GtE34VogFuPQ7Kw.json', '2024-10-30T22-25-18-04-00_mmlu_3cffwgEk5fugrXFW7iNb4K.json']"
zero_shot/pubmedqa/claude-2.0,anthropic/claude-2.0,Claude 2,2023-07-11,Anthropic,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.7632,0.004638007234913627,191875,19704,10,"['2024-10-31T12-50-10-04-00_pubmedqa_fYP4ZLaou9xZNzkmWWBSVd.json', '2024-10-31T13-35-56-04-00_pubmedqa_iB2ZjcnB3vUTDs8NPr7VPR.json', '2024-10-31T13-42-39-04-00_pubmedqa_fVyiJcRJut2ovpWUrmybSh.json', '2024-10-31T13-49-43-04-00_pubmedqa_XZf5jaYW8YsRxhDSToeYXL.json', '2024-10-31T13-56-37-04-00_pubmedqa_N6ZajBtazqrC3bidYh4Qun.json', '2024-10-31T14-03-10-04-00_pubmedqa_Qt49wNqAKGCpYVwXXpeqv7.json', '2024-10-31T14-10-15-04-00_pubmedqa_gwZMvp3788KBXEScxrxH3W.json', '2024-10-31T14-17-07-04-00_pubmedqa_VBX2pm4zPvYfUyQXZyYZBG.json', '2024-10-31T14-25-24-04-00_pubmedqa_H4U7iUHjZoDA9JnScmfLSt.json', '2024-10-31T14-32-39-04-00_pubmedqa_JznbPjPE5kF8NrnznjngaS.json']"
zero_shot/vct/claude-2.0,anthropic/claude-2.0,Claude 2,2023-07-11,Anthropic,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.14158415841584154,0.022889162883695975,36659,1447,10,"['2025-02-08T13-47-16-05-00_vct_bMyYviec7S5NFyqRHqwx7q.json', '2025-02-08T13-47-32-05-00_vct_GPjNcHP8qcktcVEEgX6qS3.json', '2025-02-08T13-47-45-05-00_vct_a2gZSxJhbNW5cWtUTstxDC.json', '2025-02-08T13-47-54-05-00_vct_76JVnPNtTadrQ4zTxq9vRw.json', '2025-02-08T13-48-07-05-00_vct_QEN9X6L5Ny6Q2bmXeiPEee.json', '2025-02-08T13-48-20-05-00_vct_XaAijqfqKpoo39o5fXqNRX.json', '2025-02-08T13-48-31-05-00_vct_AYbyx8g7vcJQVG2hUxKkeK.json', '2025-02-08T13-48-42-05-00_vct_H5Ev3uoFEfPcLNFVoh3D77.json', '2025-02-08T13-48-52-05-00_vct_4Q8MSH46nPQcNX3bTt4ZbQ.json', '2025-02-08T13-49-07-05-00_vct_eSJ4VoK2PZHBqDsMoocSjn.json']"
zero_shot/wmdp/claude-2.0,anthropic/claude-2.0,Claude 2,2023-07-11,Anthropic,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.7468185388845248,0.003032248085721708,182906,14325,10,"['2024-10-31T09-35-26-04-00_wmdp_fiF5wkKi9pCKB5cjs2tdKi.json', '2024-10-31T09-42-18-04-00_wmdp_5AgA94vEXtzdF9bFX3Mgnt.json', '2024-10-31T09-49-14-04-00_wmdp_6doThfakMsXsu3Qs6ujk8i.json', '2024-10-31T09-56-20-04-00_wmdp_nJePsiZzuQ8VH2fbgUfm6D.json', '2024-10-31T11-30-14-04-00_wmdp_UsdexddcZMmRAR9Ec2Ajqt.json', '2024-10-31T11-37-27-04-00_wmdp_bjwJQikGvEWiui7jfWCTy3.json', '2024-10-31T11-44-48-04-00_wmdp_BSuAbiZaat2Y5nrgxdN3Pb.json', '2024-10-31T11-57-48-04-00_wmdp_6VRuvMSGWJJTUSFU9iRL8A.json', '2024-10-31T12-04-53-04-00_wmdp_gE2mbiVMFErxKZ4xWVZSTg.json', '2024-10-31T12-11-41-04-00_wmdp_hjbM3MHtp5dhd32zdzkWoh.json']"
five_shot/gpqa/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6705128205128206,0.023445926024521703,141733,836,10,"['2024-11-05T11-09-36-05-00_gpqa_P9nSSsJKAzWWWJmZPNTKbC.json', '2024-11-05T11-10-22-05-00_gpqa_EqyBrCXKU7V7hKtoPKpRDY.json', '2024-11-05T11-11-04-05-00_gpqa_oJ4zW55oCGMKj3HtSCQPxu.json', '2024-11-05T11-11-49-05-00_gpqa_fUYtrvoVitUxdkznEDREov.json', '2024-11-05T11-12-37-05-00_gpqa_CXxTJhPGRSb7wjVZetz8Cy.json', '2024-11-05T11-13-22-05-00_gpqa_DcWbVSWWnBM3cLjcR2e8RD.json', '2024-11-05T11-14-04-05-00_gpqa_WvVqMaADe5mCXARXUGeYjS.json', '2024-11-05T11-14-52-05-00_gpqa_M5H85bR6fyUnLxrpemZjmq.json', '2024-11-05T11-15-41-05-00_gpqa_RKphKGXpz8gYEednqwnxGB.json', '2024-11-05T11-16-27-05-00_gpqa_SjZbRatL7URKTDwpcBYtvT.json']"
zero_shot/gpqa/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6551282051282052,0.022973812061052323,27271,1015,10,"['2024-11-07T18-43-11-05-00_gpqa_mMrmeEJBpR6vrQwRNKCGX6.json', '2024-11-07T18-43-47-05-00_gpqa_ZZgHxGuSNT3YZk3sCaP24D.json', '2024-11-07T18-44-20-05-00_gpqa_jME5GVCHNTycdziEm2RjZq.json', '2024-11-07T18-44-56-05-00_gpqa_giMrKfDuuS8jw6VTGFJ48u.json', '2024-11-07T18-45-31-05-00_gpqa_XreBmueYgLZNoRQrHRbwuu.json', '2024-11-07T18-46-04-05-00_gpqa_RqPwXLCeG3U8H6qAA2dEHb.json', '2024-11-07T18-46-38-05-00_gpqa_kujDiDBxXa8f4q46gu6JUG.json', '2024-11-07T18-47-11-05-00_gpqa_WyEZf8yNbS3AFq9tCNjRyj.json', '2024-11-07T18-47-49-05-00_gpqa_9niYWcPStiCqPc2WEx8FKv.json', '2024-11-07T19-23-42-05-00_gpqa_gzC7cEkpGLWjykEYPHCxoR.json']"
