inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.5-pro,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.752,0.01933234282123912,1050000,1048000,2000,8mwTGoq9aPhTPMFeojccEm,2024-11-05T21:47:18-05:00,2024-11-05T21:47:18-05:00,2025-01-28T12:15:33,2024-11-05T21-46-41-05-00_pubmedqa_DsFUL8gMwsmZrcmrrJcEcQ.json,False
google/gemini-1.5-pro,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.746,0.01948659680164342,1054269,1052269,2000,MPaDHyDEUnohcsUPY8oEt4,2024-11-05T21:45:57-05:00,2024-11-05T21:45:57-05:00,2025-01-28T12:15:33,2024-11-05T21-45-18-05-00_pubmedqa_S6Wk8ryHUkANrBuq9H4NiK.json,False
google/gemini-1.5-pro,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.736,0.01973288558592215,1059824,1057824,2000,55JwPWe5Drm8MytrD96f9U,2024-11-05T21:46:40-05:00,2024-11-05T21:46:40-05:00,2025-01-28T12:15:33,2024-11-05T21-45-58-05-00_pubmedqa_hWgVWQM4WhJrGbbQz5zxhf.json,False
google/gemini-1.5-pro,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.748,0.019435727282249564,1063635,1061635,2000,3993GpjuxgHHmq8AfQ7Tar,2024-11-05T21:49:16-05:00,2024-11-05T21:49:16-05:00,2025-01-28T12:15:33,2024-11-05T21-48-38-05-00_pubmedqa_WyMTQ8Ukt3pGWvrXGDKRFJ.json,False
google/gemini-1.5-pro,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.762,0.019064072958198387,1061041,1059041,2000,F9uqWECfzpkgTh9oXz8L8K,2024-11-05T21:47:58-05:00,2024-11-05T21:47:58-05:00,2025-01-28T12:15:33,2024-11-05T21-47-19-05-00_pubmedqa_KcdYKCqWBxszkfvfb7NfUy.json,False
google/gemini-1.5-pro,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.758,0.019173085678337164,1060052,1058052,2000,fRER8KKhDcVyyPhNNZJpoD,2024-11-05T21:48:37-05:00,2024-11-05T21:48:37-05:00,2025-01-28T12:15:33,2024-11-05T21-47-59-05-00_pubmedqa_4Cr5mQd896SfGBTSoPiPZ9.json,False
google/gemini-1.5-pro,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.756,0.01922673489361464,1060495,1058495,2000,BZAJoFtU9RJeu6QKNAXZZQ,2024-11-05T21:51:55-05:00,2024-11-05T21:51:55-05:00,2025-01-28T12:15:33,2024-11-05T21-51-16-05-00_pubmedqa_beWbJnQ3bufChFuSwR2du2.json,False
google/gemini-1.5-pro,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.766,0.018952741564893752,1054833,1052833,2000,BFc5f5WnNX6yZ3cfegCcWv,2024-11-05T21:51:15-05:00,2024-11-05T21:51:15-05:00,2025-01-28T12:15:33,2024-11-05T21-50-37-05-00_pubmedqa_JwDyAvksQbW3mvWeuthP4v.json,False
google/gemini-1.5-pro,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.762,0.019064072958198387,1055058,1053058,2000,mfSvcF72ZkktH7HTfDfFVf,2024-11-05T21:50:36-05:00,2024-11-05T21:50:36-05:00,2025-01-28T12:15:33,2024-11-05T21-49-58-05-00_pubmedqa_KjpEbLEK9orp3gGascKrDD.json,False
google/gemini-1.5-pro,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.748,0.019435727282249564,1067455,1065455,2000,8tkHotPRu76mxS4wqCnSWB,2024-11-05T21:49:57-05:00,2024-11-05T21:49:57-05:00,2025-01-28T12:15:33,2024-11-05T21-49-18-05-00_pubmedqa_aT2rVVuSBaqzHZh3TpbLeE.json,False
