inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.748,0.019416281827373642,368616,196952,171664,G3rdhrxEqD9LdKeN6pETho,2024-10-02T09:37:46-04:00,2024-10-02T09:37:46-04:00,2025-01-28T12:15:53,2024-10-02T09-33-44-04-00_benchmarks-pubmedqa_bTeBsGXgfRCRZiHQgsTBsj.json,True
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.764,0.018989681408596616,368506,196952,171554,QxWC7CHtoqouuYXsSxX6AF,2024-10-02T09:42:05-04:00,2024-10-02T09:42:05-04:00,2025-01-28T12:15:53,2024-10-02T09-37-48-04-00_benchmarks-pubmedqa_SoFYJ2iivsqnvxVSWmkujX.json,True
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.758,0.019153902996517445,371710,196952,174758,k7uFyQA8AZPYvBkxqZMNVb,2024-10-01T22:48:12-04:00,2024-10-01T22:48:12-04:00,2025-01-28T12:15:53,2024-10-01T22-44-59-04-00_benchmarks-pubmedqa_eo7Fwr6o9LWuoRcxPHcFzc.json,True
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.766,0.01893377933746984,370159,196952,173207,nacP6Pni5m3T2GhpM7uSpv,2024-10-02T09:33:42-04:00,2024-10-02T09:33:42-04:00,2025-01-28T12:15:53,2024-10-02T09-29-31-04-00_benchmarks-pubmedqa_5oKNDQJWaJeVtmQtbB84DG.json,True
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.758,0.019153902996517445,372892,196952,175940,VPCYnjQvXw9AAm8TL4F6MX,2024-10-02T09:25:09-04:00,2024-10-02T09:25:09-04:00,2025-01-28T12:15:53,2024-10-01T22-48-13-04-00_benchmarks-pubmedqa_9z2DqJGe6qpcRjZdbr2hHA.json,True
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.766,0.01893377933746984,367556,196952,170604,eTL5BTK3P8b7ZveyPQtykM,2024-10-02T09:29:30-04:00,2024-10-02T09:29:30-04:00,2025-01-28T12:15:53,2024-10-02T09-25-30-04-00_benchmarks-pubmedqa_GEbbwUrjFyi7oQbooZhFQ2.json,True
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.758,0.019153902996517445,367500,196952,170548,HtWUWzCNMnmwN8nYJVhNUS,2024-10-01T22:44:57-04:00,2024-10-01T22:44:57-04:00,2025-01-28T12:15:53,2024-10-01T22-41-45-04-00_benchmarks-pubmedqa_9Xs5rgDkQTq6zfpmrgAcwm.json,True
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.756,0.019207498535728174,369534,196952,172582,YRc8rjMXjUpW8CZyvPcSyP,2024-10-02T09:51:05-04:00,2024-10-02T09:51:05-04:00,2025-01-28T12:15:53,2024-10-02T09-46-24-04-00_benchmarks-pubmedqa_4beJVM4ALY9RZBwSQcqxyo.json,True
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.764,0.018989681408596616,370206,196952,173254,e7tRzrqZFHWR8pbuB5kUuk,2024-10-02T09:46:23-04:00,2024-10-02T09:46:23-04:00,2025-01-28T12:15:53,2024-10-02T09-42-06-04-00_benchmarks-pubmedqa_UhkKn7VGqiotUmkvv5o9tf.json,True
openai/gpt-4o,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.748,0.019416281827373642,368074,196952,171122,cncaV5sZkLmE9SGWSAVzNp,2024-10-01T22:41:44-04:00,2024-10-01T22:41:44-04:00,2025-01-28T12:15:53,2024-10-01T22-38-28-04-00_benchmarks-pubmedqa_eGdgxTa5jQkKgTrfmUvRCC.json,True
