inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.67,0.02102855201862458,251152,201597,49555,cSfBBtdwYcJ2NjhPT8kmhL,2024-10-01T22:30:35-04:00,2024-10-01T22:30:35-04:00,2025-01-28T12:15:54,2024-10-01T22-28-33-04-00_benchmarks-pubmedqa_SUTLSazv9RLgE3mzk6Xkc3.json,True
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.68,0.020861447696648473,250094,201597,48497,hMZhZ8PsP7AaZ9PQGSGpQR,2024-10-01T22:26:28-04:00,2024-10-01T22:26:28-04:00,2025-01-28T12:15:54,2024-10-01T22-24-28-04-00_benchmarks-pubmedqa_NoFCkZffiDQk3DknSbFCeG.json,True
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.678,0.020895741192884256,249914,201597,48317,dRsi54Qqt5Ycatk3QSX9TR,2024-10-01T22:28:31-04:00,2024-10-01T22:28:31-04:00,2025-01-28T12:15:54,2024-10-01T22-26-33-04-00_benchmarks-pubmedqa_aacVt52oEMEJgyxwJgxQGJ.json,True
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.656,0.02124448163641561,249576,201597,47979,mzbKEip7Wa8W9hyHeDMdQC,2024-10-01T22:22:28-04:00,2024-10-01T22:22:28-04:00,2025-01-28T12:15:54,2024-10-01T22-20-31-04-00_benchmarks-pubmedqa_N7qa6wVtiPs3C2xdQovcZ9.json,True
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.684,0.020791536739741004,249097,201597,47500,mnXwvkNPKWgnBWyrxrF2xo,2024-10-01T22:38:27-04:00,2024-10-01T22:38:27-04:00,2025-01-28T12:15:54,2024-10-01T22-36-30-04-00_benchmarks-pubmedqa_PuGT99b6dX83fRkXaJZqmh.json,True
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.654,0.021273645667821018,249200,201597,47603,dhb2aptEx9cmbf6bd9uZnY,2024-10-01T22:36:29-04:00,2024-10-01T22:36:29-04:00,2025-01-28T12:15:54,2024-10-01T22-34-31-04-00_benchmarks-pubmedqa_bej9KRQRgPSCaAbE9ewg4i.json,True
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.686,0.020755914819636352,249460,201597,47863,iap5QwqDcksohPtUSwzLyy,2024-10-01T22:20:30-04:00,2024-10-01T22:20:30-04:00,2025-01-28T12:15:54,2024-10-01T22-18-32-04-00_benchmarks-pubmedqa_UaeBSed2Sq2Ra6vT3oo8nR.json,True
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.662,0.02115447943108031,248918,201597,47321,Ns5ZS84TSVBiDWzq9Ho44p,2024-10-01T22:32:32-04:00,2024-10-01T22:32:32-04:00,2025-01-28T12:15:54,2024-10-01T22-30-36-04-00_benchmarks-pubmedqa_9xfPhZQuwPeaYQUDBc42sg.json,True
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.672,0.02099599961897504,249341,201597,47744,X5PP2mU9pBCfDeG3KUTMqv,2024-10-01T22:24:27-04:00,2024-10-01T22:24:27-04:00,2025-01-28T12:15:54,2024-10-01T22-22-29-04-00_benchmarks-pubmedqa_RMdfn9eaDgvf27VyyCeixN.json,True
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.692,0.020646355610615643,249230,201597,47633,4q8oTpHiizfjGjVPvo4EXV,2024-10-01T22:34:30-04:00,2024-10-01T22:34:30-04:00,2025-01-28T12:15:54,2024-10-01T22-32-33-04-00_benchmarks-pubmedqa_gxEHEgHqAojU6SMfd4rHbt.json,True
